,index,roc_auc,model,fold,subject,session,train_cond,test_cond
81,0,0.6572871572871574,XDAWN+Rg,3,A04,2,G,S
82,0,0.6052215189873418,XDAWN+Rg,3,A04,2,G,G
83,0,0.8144796380090498,XDAWN+Rg,3,A04,2,G,mix
84,0,0.7452531645569621,XDAWN+Rg,4,A04,2,G,S
85,0,0.7634493670886077,XDAWN+Rg,4,A04,2,G,G
86,0,0.8152958152958153,XDAWN+Rg,4,A04,2,G,mix
87,0,0.6327300150829562,XDAWN+Rg,5,A04,2,G,S
88,0,0.7275,XDAWN+Rg,5,A04,2,G,G
89,0,0.7435064935064934,XDAWN+Rg,5,A04,2,G,mix
90,0,0.8561253561253561,XDAWN+Rg,0,A04,2,mix,S
91,0,0.7578125,XDAWN+Rg,0,A04,2,mix,G
92,0,0.734375,XDAWN+Rg,0,A04,2,mix,mix
93,0,0.8057142857142857,XDAWN+Rg,1,A04,2,mix,S
94,0,0.7415637860082305,XDAWN+Rg,1,A04,2,mix,G
95,0,0.60234375,XDAWN+Rg,1,A04,2,mix,mix
96,0,0.85,XDAWN+Rg,2,A04,2,mix,S
97,0,0.8601190476190476,XDAWN+Rg,2,A04,2,mix,G
98,0,0.81953125,XDAWN+Rg,2,A04,2,mix,mix
99,0,0.822289156626506,XDAWN+Rg,3,A04,2,mix,S
100,0,0.7870544090056285,XDAWN+Rg,3,A04,2,mix,G
101,0,0.7990506329113924,XDAWN+Rg,3,A04,2,mix,mix
102,0,0.8674999999999999,XDAWN+Rg,4,A04,2,mix,S
103,0,0.6677215189873418,XDAWN+Rg,4,A04,2,mix,G
104,0,0.810126582278481,XDAWN+Rg,4,A04,2,mix,mix
105,0,0.8939962476547842,XDAWN+Rg,5,A04,2,mix,S
106,0,0.7445652173913043,XDAWN+Rg,5,A04,2,mix,G
107,0,0.7633333333333334,XDAWN+Rg,5,A04,2,mix,mix
108,0,0.9264240506329114,XDAWN+Rg,0,A04,3,S,S
109,0,0.7557319223985891,XDAWN+Rg,0,A04,3,S,G
110,0,0.8421516754850088,XDAWN+Rg,0,A04,3,S,mix
111,0,0.9746835443037974,XDAWN+Rg,1,A04,3,S,S
112,0,0.6493212669683258,XDAWN+Rg,1,A04,3,S,G
113,0,0.9106648199445984,XDAWN+Rg,1,A04,3,S,mix
114,0,0.9375527426160338,XDAWN+Rg,2,A04,3,S,S
115,0,0.6771929824561405,XDAWN+Rg,2,A04,3,S,G
116,0,0.8869365928189458,XDAWN+Rg,2,A04,3,S,mix
117,0,0.9122362869198313,XDAWN+Rg,3,A04,3,S,S
118,0,0.6070175438596491,XDAWN+Rg,3,A04,3,S,G
119,0,0.8821428571428571,XDAWN+Rg,3,A04,3,S,mix
120,0,0.9383966244725738,XDAWN+Rg,4,A04,3,S,S
121,0,0.6077235772357723,XDAWN+Rg,4,A04,3,S,G
122,0,0.8734177215189874,XDAWN+Rg,4,A04,3,S,mix
123,0,0.9662447257383966,XDAWN+Rg,5,A04,3,S,S
124,0,0.7410714285714286,XDAWN+Rg,5,A04,3,S,G
125,0,0.7815764482431149,XDAWN+Rg,5,A04,3,S,mix
126,0,0.8109418282548477,XDAWN+Rg,0,A04,3,G,S
127,0,0.8251582278481012,XDAWN+Rg,0,A04,3,G,G
128,0,0.8903318903318903,XDAWN+Rg,0,A04,3,G,mix
129,0,0.7626582278481012,XDAWN+Rg,1,A04,3,G,S
130,0,0.7753164556962026,XDAWN+Rg,1,A04,3,G,G
131,0,0.8308333333333333,XDAWN+Rg,1,A04,3,G,mix
132,0,0.6421940928270042,XDAWN+Rg,2,A04,3,G,S
133,0,0.8151898734177215,XDAWN+Rg,2,A04,3,G,G
134,0,0.8070175438596492,XDAWN+Rg,2,A04,3,G,mix
135,0,0.6538882803943045,XDAWN+Rg,3,A04,3,G,S
136,0,0.8237179487179487,XDAWN+Rg,3,A04,3,G,G
137,0,0.8330357142857143,XDAWN+Rg,3,A04,3,G,mix
138,0,0.740084388185654,XDAWN+Rg,4,A04,3,G,S
139,0,0.7588141025641025,XDAWN+Rg,4,A04,3,G,G
140,0,0.7447973713033954,XDAWN+Rg,4,A04,3,G,mix
141,0,0.673076923076923,XDAWN+Rg,5,A04,3,G,S
142,0,0.842948717948718,XDAWN+Rg,5,A04,3,G,G
143,0,0.7940705128205128,XDAWN+Rg,5,A04,3,G,mix
144,0,0.8473101265822784,XDAWN+Rg,0,A04,3,mix,S
145,0,0.8084464555052789,XDAWN+Rg,0,A04,3,mix,G
146,0,0.8504746835443038,XDAWN+Rg,0,A04,3,mix,mix
147,0,0.9091710758377425,XDAWN+Rg,1,A04,3,mix,S
148,0,0.7368421052631579,XDAWN+Rg,1,A04,3,mix,G
149,0,0.8125,XDAWN+Rg,1,A04,3,mix,mix
150,0,0.8388185654008439,XDAWN+Rg,2,A04,3,mix,S
151,0,0.863859649122807,XDAWN+Rg,2,A04,3,mix,G
152,0,0.8194092827004219,XDAWN+Rg,2,A04,3,mix,mix
153,0,0.9575320512820513,XDAWN+Rg,3,A04,3,mix,S
154,0,0.8633928571428571,XDAWN+Rg,3,A04,3,mix,G
155,0,0.8919831223628693,XDAWN+Rg,3,A04,3,mix,mix
156,0,0.9182692307692307,XDAWN+Rg,4,A04,3,mix,S
157,0,0.8089430894308943,XDAWN+Rg,4,A04,3,mix,G
158,0,0.8751054852320675,XDAWN+Rg,4,A04,3,mix,mix
159,0,0.9417721518987343,XDAWN+Rg,5,A04,3,mix,S
160,0,0.7964285714285714,XDAWN+Rg,5,A04,3,mix,G
161,0,0.8236286919831224,XDAWN+Rg,5,A04,3,mix,mix
162,0,0.83125,XDAWN+Rg,0,A08,1,S,S
163,0,0.7203124999999999,XDAWN+Rg,0,A08,1,S,G
164,0,0.8093023255813954,XDAWN+Rg,0,A08,1,S,mix
165,0,0.87421875,XDAWN+Rg,1,A08,1,S,S
166,0,0.63515625,XDAWN+Rg,1,A08,1,S,G
167,0,0.8345864661654135,XDAWN+Rg,1,A08,1,S,mix
168,0,0.86484375,XDAWN+Rg,2,A08,1,S,S
169,0,0.771875,XDAWN+Rg,2,A08,1,S,G
170,0,0.7733333333333333,XDAWN+Rg,2,A08,1,S,mix
171,0,0.778125,XDAWN+Rg,3,A08,1,S,S
172,0,0.66796875,XDAWN+Rg,3,A08,1,S,G
173,0,0.7379002233804914,XDAWN+Rg,3,A08,1,S,mix
174,0,0.8328125,XDAWN+Rg,4,A08,1,S,S
175,0,0.709375,XDAWN+Rg,4,A08,1,S,G
176,0,0.7925925925925926,XDAWN+Rg,4,A08,1,S,mix
177,0,0.9531250000000001,XDAWN+Rg,5,A08,1,S,S
178,0,0.8875,XDAWN+Rg,5,A08,1,S,G
179,0,0.7415637860082306,XDAWN+Rg,5,A08,1,S,mix
