,accuracy,n_trials,subject,model,fold,session,condition
0,0.0,3,A05,XDAWNCov-TS-LogReg,3,1,G
0,0.0,4,A05,XDAWNCov-TS-LogReg,3,1,G
0,0.0,5,A05,XDAWNCov-TS-LogReg,3,1,G
0,0.0,6,A05,XDAWNCov-TS-LogReg,3,1,G
0,0.0,7,A05,XDAWNCov-TS-LogReg,3,1,G
0,0.2,8,A05,XDAWNCov-TS-LogReg,3,1,G
0,0.0,1,A05,XDAWNCov-TS-LogReg,4,1,G
0,0.2,2,A05,XDAWNCov-TS-LogReg,4,1,G
0,0.2,3,A05,XDAWNCov-TS-LogReg,4,1,G
0,0.2,4,A05,XDAWNCov-TS-LogReg,4,1,G
0,0.4,5,A05,XDAWNCov-TS-LogReg,4,1,G
0,0.4,6,A05,XDAWNCov-TS-LogReg,4,1,G
0,0.4,7,A05,XDAWNCov-TS-LogReg,4,1,G
0,0.4,8,A05,XDAWNCov-TS-LogReg,4,1,G
0,0.0,1,A05,XDAWNCov-TS-LogReg,5,1,G
0,0.2,2,A05,XDAWNCov-TS-LogReg,5,1,G
0,0.2,3,A05,XDAWNCov-TS-LogReg,5,1,G
0,0.2,4,A05,XDAWNCov-TS-LogReg,5,1,G
0,0.2,5,A05,XDAWNCov-TS-LogReg,5,1,G
0,0.2,6,A05,XDAWNCov-TS-LogReg,5,1,G
0,0.2,7,A05,XDAWNCov-TS-LogReg,5,1,G
0,0.2,8,A05,XDAWNCov-TS-LogReg,5,1,G
0,0.0,1,A05,ERPCov-TS-LogReg,0,1,G
0,0.2,2,A05,ERPCov-TS-LogReg,0,1,G
0,0.2,3,A05,ERPCov-TS-LogReg,0,1,G
0,0.2,4,A05,ERPCov-TS-LogReg,0,1,G
0,0.4,5,A05,ERPCov-TS-LogReg,0,1,G
0,0.6,6,A05,ERPCov-TS-LogReg,0,1,G
0,0.4,7,A05,ERPCov-TS-LogReg,0,1,G
0,0.2,8,A05,ERPCov-TS-LogReg,0,1,G
0,0.2,1,A05,ERPCov-TS-LogReg,1,1,G
0,0.2,2,A05,ERPCov-TS-LogReg,1,1,G
0,0.4,3,A05,ERPCov-TS-LogReg,1,1,G
0,0.4,4,A05,ERPCov-TS-LogReg,1,1,G
0,0.4,5,A05,ERPCov-TS-LogReg,1,1,G
0,0.2,6,A05,ERPCov-TS-LogReg,1,1,G
0,0.4,7,A05,ERPCov-TS-LogReg,1,1,G
0,0.4,8,A05,ERPCov-TS-LogReg,1,1,G
0,0.0,1,A05,ERPCov-TS-LogReg,2,1,G
0,0.2,2,A05,ERPCov-TS-LogReg,2,1,G
0,0.6,3,A05,ERPCov-TS-LogReg,2,1,G
0,0.6,4,A05,ERPCov-TS-LogReg,2,1,G
0,0.8,5,A05,ERPCov-TS-LogReg,2,1,G
0,0.6,6,A05,ERPCov-TS-LogReg,2,1,G
0,0.6,7,A05,ERPCov-TS-LogReg,2,1,G
0,0.6,8,A05,ERPCov-TS-LogReg,2,1,G
0,0.0,1,A05,ERPCov-TS-LogReg,3,1,G
0,0.2,2,A05,ERPCov-TS-LogReg,3,1,G
0,0.4,3,A05,ERPCov-TS-LogReg,3,1,G
0,0.2,4,A05,ERPCov-TS-LogReg,3,1,G
0,0.2,5,A05,ERPCov-TS-LogReg,3,1,G
0,0.0,6,A05,ERPCov-TS-LogReg,3,1,G
0,0.0,7,A05,ERPCov-TS-LogReg,3,1,G
0,0.4,8,A05,ERPCov-TS-LogReg,3,1,G
0,0.0,1,A05,ERPCov-TS-LogReg,4,1,G
0,0.2,2,A05,ERPCov-TS-LogReg,4,1,G
0,0.2,3,A05,ERPCov-TS-LogReg,4,1,G
0,0.2,4,A05,ERPCov-TS-LogReg,4,1,G
0,0.0,5,A05,ERPCov-TS-LogReg,4,1,G
0,0.2,6,A05,ERPCov-TS-LogReg,4,1,G
0,0.2,7,A05,ERPCov-TS-LogReg,4,1,G
0,0.2,8,A05,ERPCov-TS-LogReg,4,1,G
0,0.0,1,A05,ERPCov-TS-LogReg,5,1,G
0,0.0,2,A05,ERPCov-TS-LogReg,5,1,G
0,0.0,3,A05,ERPCov-TS-LogReg,5,1,G
0,0.0,4,A05,ERPCov-TS-LogReg,5,1,G
0,0.0,5,A05,ERPCov-TS-LogReg,5,1,G
0,0.0,6,A05,ERPCov-TS-LogReg,5,1,G
0,0.0,7,A05,ERPCov-TS-LogReg,5,1,G
0,0.2,8,A05,ERPCov-TS-LogReg,5,1,G
0,0.6,1,A05,XDAWNCov-TS-LogReg,0,2,S
0,1.0,2,A05,XDAWNCov-TS-LogReg,0,2,S
0,1.0,3,A05,XDAWNCov-TS-LogReg,0,2,S
0,1.0,4,A05,XDAWNCov-TS-LogReg,0,2,S
0,1.0,5,A05,XDAWNCov-TS-LogReg,0,2,S
0,1.0,6,A05,XDAWNCov-TS-LogReg,0,2,S
0,1.0,7,A05,XDAWNCov-TS-LogReg,0,2,S
0,1.0,8,A05,XDAWNCov-TS-LogReg,0,2,S
0,0.4,1,A05,XDAWNCov-TS-LogReg,1,2,S
