,accuracy,n_trials,subject,condition,model,fold,session
0,1.0,5,A14,overt,tLDA,5,1
0,1.0,6,A14,overt,tLDA,5,1
0,1.0,7,A14,overt,tLDA,5,1
0,1.0,8,A14,overt,tLDA,5,1
0,1.0,9,A14,overt,tLDA,5,1
0,1.0,10,A14,overt,tLDA,5,1
0,0.0,1,A14,covert,CBLE,0,1
0,0.0,2,A14,covert,CBLE,0,1
0,0.0,3,A14,covert,CBLE,0,1
0,0.0,4,A14,covert,CBLE,0,1
0,0.0,5,A14,covert,CBLE,0,1
0,1.0,6,A14,covert,CBLE,0,1
0,1.0,7,A14,covert,CBLE,0,1
0,1.0,8,A14,covert,CBLE,0,1
0,1.0,9,A14,covert,CBLE,0,1
0,1.0,10,A14,covert,CBLE,0,1
0,0.0,1,A14,covert,CBLE,1,1
0,0.0,2,A14,covert,CBLE,1,1
0,0.0,3,A14,covert,CBLE,1,1
0,1.0,4,A14,covert,CBLE,1,1
0,1.0,5,A14,covert,CBLE,1,1
0,0.0,6,A14,covert,CBLE,1,1
0,1.0,7,A14,covert,CBLE,1,1
0,1.0,8,A14,covert,CBLE,1,1
0,1.0,9,A14,covert,CBLE,1,1
0,1.0,10,A14,covert,CBLE,1,1
0,0.0,1,A14,covert,CBLE,2,1
0,0.0,2,A14,covert,CBLE,2,1
0,0.0,3,A14,covert,CBLE,2,1
0,0.0,4,A14,covert,CBLE,2,1
0,0.0,5,A14,covert,CBLE,2,1
0,0.0,6,A14,covert,CBLE,2,1
0,0.0,7,A14,covert,CBLE,2,1
0,0.0,8,A14,covert,CBLE,2,1
0,0.0,9,A14,covert,CBLE,2,1
0,0.0,10,A14,covert,CBLE,2,1
0,0.0,1,A14,covert,CBLE,3,1
0,0.0,2,A14,covert,CBLE,3,1
0,0.0,3,A14,covert,CBLE,3,1
0,0.0,4,A14,covert,CBLE,3,1
0,0.0,5,A14,covert,CBLE,3,1
0,0.0,6,A14,covert,CBLE,3,1
0,0.0,7,A14,covert,CBLE,3,1
0,0.0,8,A14,covert,CBLE,3,1
0,0.0,9,A14,covert,CBLE,3,1
0,0.0,10,A14,covert,CBLE,3,1
0,0.0,1,A14,covert,CBLE,4,1
0,1.0,2,A14,covert,CBLE,4,1
0,1.0,3,A14,covert,CBLE,4,1
0,1.0,4,A14,covert,CBLE,4,1
0,1.0,5,A14,covert,CBLE,4,1
0,1.0,6,A14,covert,CBLE,4,1
0,1.0,7,A14,covert,CBLE,4,1
0,1.0,8,A14,covert,CBLE,4,1
0,1.0,9,A14,covert,CBLE,4,1
0,1.0,10,A14,covert,CBLE,4,1
0,0.0,1,A14,covert,CBLE,5,1
0,0.0,2,A14,covert,CBLE,5,1
0,0.0,3,A14,covert,CBLE,5,1
0,0.0,4,A14,covert,CBLE,5,1
0,0.0,5,A14,covert,CBLE,5,1
0,0.0,6,A14,covert,CBLE,5,1
0,0.0,7,A14,covert,CBLE,5,1
0,0.0,8,A14,covert,CBLE,5,1
0,0.0,9,A14,covert,CBLE,5,1
0,0.0,10,A14,covert,CBLE,5,1
0,0.0,1,A14,covert,wCBLE,0,1
0,0.0,2,A14,covert,wCBLE,0,1
0,1.0,3,A14,covert,wCBLE,0,1
0,1.0,4,A14,covert,wCBLE,0,1
0,1.0,5,A14,covert,wCBLE,0,1
0,1.0,6,A14,covert,wCBLE,0,1
0,1.0,7,A14,covert,wCBLE,0,1
0,1.0,8,A14,covert,wCBLE,0,1
0,1.0,9,A14,covert,wCBLE,0,1
0,1.0,10,A14,covert,wCBLE,0,1
0,0.0,1,A14,covert,wCBLE,1,1
0,0.0,2,A14,covert,wCBLE,1,1
0,1.0,3,A14,covert,wCBLE,1,1
0,1.0,4,A14,covert,wCBLE,1,1
0,1.0,5,A14,covert,wCBLE,1,1
0,1.0,6,A14,covert,wCBLE,1,1
0,1.0,7,A14,covert,wCBLE,1,1
0,1.0,8,A14,covert,wCBLE,1,1
0,1.0,9,A14,covert,wCBLE,1,1
0,1.0,10,A14,covert,wCBLE,1,1
0,0.0,1,A14,covert,wCBLE,2,1
0,0.0,2,A14,covert,wCBLE,2,1
0,0.0,3,A14,covert,wCBLE,2,1
0,0.0,4,A14,covert,wCBLE,2,1
0,0.0,5,A14,covert,wCBLE,2,1
0,0.0,6,A14,covert,wCBLE,2,1
0,0.0,7,A14,covert,wCBLE,2,1
0,0.0,8,A14,covert,wCBLE,2,1
0,0.0,9,A14,covert,wCBLE,2,1
0,0.0,10,A14,covert,wCBLE,2,1
0,0.0,1,A14,covert,wCBLE,3,1
0,0.0,2,A14,covert,wCBLE,3,1
0,0.0,3,A14,covert,wCBLE,3,1
0,0.0,4,A14,covert,wCBLE,3,1
0,0.0,5,A14,covert,wCBLE,3,1
0,0.0,6,A14,covert,wCBLE,3,1
0,0.0,7,A14,covert,wCBLE,3,1
0,0.0,8,A14,covert,wCBLE,3,1
0,0.0,9,A14,covert,wCBLE,3,1
0,0.0,10,A14,covert,wCBLE,3,1
0,0.0,1,A14,covert,wCBLE,4,1
0,1.0,2,A14,covert,wCBLE,4,1
0,1.0,3,A14,covert,wCBLE,4,1
0,1.0,4,A14,covert,wCBLE,4,1
0,1.0,5,A14,covert,wCBLE,4,1
0,0.0,6,A14,covert,wCBLE,4,1
0,1.0,7,A14,covert,wCBLE,4,1
0,1.0,8,A14,covert,wCBLE,4,1
0,1.0,9,A14,covert,wCBLE,4,1
0,1.0,10,A14,covert,wCBLE,4,1
0,0.0,1,A14,covert,wCBLE,5,1
0,0.0,2,A14,covert,wCBLE,5,1
0,0.0,3,A14,covert,wCBLE,5,1
0,0.0,4,A14,covert,wCBLE,5,1
0,0.0,5,A14,covert,wCBLE,5,1
0,0.0,6,A14,covert,wCBLE,5,1
0,0.0,7,A14,covert,wCBLE,5,1
0,0.0,8,A14,covert,wCBLE,5,1
0,0.0,9,A14,covert,wCBLE,5,1
0,0.0,10,A14,covert,wCBLE,5,1
0,0.0,1,A14,covert,tLDA,0,1
0,0.0,2,A14,covert,tLDA,0,1
0,0.0,3,A14,covert,tLDA,0,1
0,0.0,4,A14,covert,tLDA,0,1
0,0.0,5,A14,covert,tLDA,0,1
0,0.0,6,A14,covert,tLDA,0,1
0,1.0,7,A14,covert,tLDA,0,1
0,1.0,8,A14,covert,tLDA,0,1
0,1.0,9,A14,covert,tLDA,0,1
0,1.0,10,A14,covert,tLDA,0,1
0,0.0,1,A14,covert,tLDA,1,1
0,0.0,2,A14,covert,tLDA,1,1
0,0.0,3,A14,covert,tLDA,1,1
0,1.0,4,A14,covert,tLDA,1,1
0,1.0,5,A14,covert,tLDA,1,1
0,0.0,6,A14,covert,tLDA,1,1
0,0.0,7,A14,covert,tLDA,1,1
0,1.0,8,A14,covert,tLDA,1,1
0,1.0,9,A14,covert,tLDA,1,1
0,1.0,10,A14,covert,tLDA,1,1
0,0.0,1,A14,covert,tLDA,2,1
0,0.0,2,A14,covert,tLDA,2,1
0,0.0,3,A14,covert,tLDA,2,1
0,0.0,4,A14,covert,tLDA,2,1
0,0.0,5,A14,covert,tLDA,2,1
0,0.0,6,A14,covert,tLDA,2,1
0,0.0,7,A14,covert,tLDA,2,1
0,0.0,8,A14,covert,tLDA,2,1
0,0.0,9,A14,covert,tLDA,2,1
0,0.0,10,A14,covert,tLDA,2,1
0,0.0,1,A14,covert,tLDA,3,1
0,0.0,2,A14,covert,tLDA,3,1
0,0.0,3,A14,covert,tLDA,3,1
0,0.0,4,A14,covert,tLDA,3,1
0,0.0,5,A14,covert,tLDA,3,1
0,0.0,6,A14,covert,tLDA,3,1
0,0.0,7,A14,covert,tLDA,3,1
0,0.0,8,A14,covert,tLDA,3,1
0,0.0,9,A14,covert,tLDA,3,1
0,0.0,10,A14,covert,tLDA,3,1
0,0.0,1,A14,covert,tLDA,4,1
0,1.0,2,A14,covert,tLDA,4,1
0,1.0,3,A14,covert,tLDA,4,1
0,1.0,4,A14,covert,tLDA,4,1
0,1.0,5,A14,covert,tLDA,4,1
0,1.0,6,A14,covert,tLDA,4,1
0,1.0,7,A14,covert,tLDA,4,1
0,1.0,8,A14,covert,tLDA,4,1
0,1.0,9,A14,covert,tLDA,4,1
0,1.0,10,A14,covert,tLDA,4,1
0,0.0,1,A14,covert,tLDA,5,1
0,0.0,2,A14,covert,tLDA,5,1
0,0.0,3,A14,covert,tLDA,5,1
0,0.0,4,A14,covert,tLDA,5,1
0,0.0,5,A14,covert,tLDA,5,1
0,0.0,6,A14,covert,tLDA,5,1
0,0.0,7,A14,covert,tLDA,5,1
0,0.0,8,A14,covert,tLDA,5,1
0,0.0,9,A14,covert,tLDA,5,1
0,0.0,10,A14,covert,tLDA,5,1
0,0.0,1,A14,split/1,CBLE,0,1
0,0.0,2,A14,split/1,CBLE,0,1
0,1.0,3,A14,split/1,CBLE,0,1
0,0.0,4,A14,split/1,CBLE,0,1
0,1.0,5,A14,split/1,CBLE,0,1
0,1.0,6,A14,split/1,CBLE,0,1
0,1.0,7,A14,split/1,CBLE,0,1
0,1.0,8,A14,split/1,CBLE,0,1
0,1.0,9,A14,split/1,CBLE,0,1
0,1.0,10,A14,split/1,CBLE,0,1
0,0.0,1,A14,split/1,CBLE,1,1
0,1.0,2,A14,split/1,CBLE,1,1
0,1.0,3,A14,split/1,CBLE,1,1
0,1.0,4,A14,split/1,CBLE,1,1
0,1.0,5,A14,split/1,CBLE,1,1
0,1.0,6,A14,split/1,CBLE,1,1
0,1.0,7,A14,split/1,CBLE,1,1
0,1.0,8,A14,split/1,CBLE,1,1
0,1.0,9,A14,split/1,CBLE,1,1
0,1.0,10,A14,split/1,CBLE,1,1
0,1.0,1,A14,split/1,CBLE,2,1
0,0.0,2,A14,split/1,CBLE,2,1
0,0.0,3,A14,split/1,CBLE,2,1
0,0.0,4,A14,split/1,CBLE,2,1
0,1.0,5,A14,split/1,CBLE,2,1
0,1.0,6,A14,split/1,CBLE,2,1
0,1.0,7,A14,split/1,CBLE,2,1
0,1.0,8,A14,split/1,CBLE,2,1
0,1.0,9,A14,split/1,CBLE,2,1
0,1.0,10,A14,split/1,CBLE,2,1
0,0.0,1,A14,split/1,CBLE,3,1
0,0.0,2,A14,split/1,CBLE,3,1
0,0.0,3,A14,split/1,CBLE,3,1
0,0.0,4,A14,split/1,CBLE,3,1
0,0.0,5,A14,split/1,CBLE,3,1
0,0.0,6,A14,split/1,CBLE,3,1
0,0.0,7,A14,split/1,CBLE,3,1
0,0.0,8,A14,split/1,CBLE,3,1
0,0.0,9,A14,split/1,CBLE,3,1
0,1.0,10,A14,split/1,CBLE,3,1
0,0.0,1,A14,split/1,CBLE,4,1
0,1.0,2,A14,split/1,CBLE,4,1
0,1.0,3,A14,split/1,CBLE,4,1
0,1.0,4,A14,split/1,CBLE,4,1
0,1.0,5,A14,split/1,CBLE,4,1
0,1.0,6,A14,split/1,CBLE,4,1
0,1.0,7,A14,split/1,CBLE,4,1
0,1.0,8,A14,split/1,CBLE,4,1
0,1.0,9,A14,split/1,CBLE,4,1
0,1.0,10,A14,split/1,CBLE,4,1
0,0.0,1,A14,split/1,CBLE,5,1
0,1.0,2,A14,split/1,CBLE,5,1
0,0.0,3,A14,split/1,CBLE,5,1
0,1.0,4,A14,split/1,CBLE,5,1
0,1.0,5,A14,split/1,CBLE,5,1
0,1.0,6,A14,split/1,CBLE,5,1
0,1.0,7,A14,split/1,CBLE,5,1
0,1.0,8,A14,split/1,CBLE,5,1
0,1.0,9,A14,split/1,CBLE,5,1
0,1.0,10,A14,split/1,CBLE,5,1
0,0.0,1,A14,split/1,wCBLE,0,1
0,0.0,2,A14,split/1,wCBLE,0,1
0,1.0,3,A14,split/1,wCBLE,0,1
0,0.0,4,A14,split/1,wCBLE,0,1
0,1.0,5,A14,split/1,wCBLE,0,1
0,1.0,6,A14,split/1,wCBLE,0,1
0,1.0,7,A14,split/1,wCBLE,0,1
0,1.0,8,A14,split/1,wCBLE,0,1
0,1.0,9,A14,split/1,wCBLE,0,1
0,1.0,10,A14,split/1,wCBLE,0,1
0,0.0,1,A14,split/1,wCBLE,1,1
0,0.0,2,A14,split/1,wCBLE,1,1
0,0.0,3,A14,split/1,wCBLE,1,1
0,0.0,4,A14,split/1,wCBLE,1,1
0,0.0,5,A14,split/1,wCBLE,1,1
0,1.0,6,A14,split/1,wCBLE,1,1
0,1.0,7,A14,split/1,wCBLE,1,1
0,1.0,8,A14,split/1,wCBLE,1,1
0,1.0,9,A14,split/1,wCBLE,1,1
0,1.0,10,A14,split/1,wCBLE,1,1
0,0.0,1,A14,split/1,wCBLE,2,1
0,0.0,2,A14,split/1,wCBLE,2,1
0,0.0,3,A14,split/1,wCBLE,2,1
0,0.0,4,A14,split/1,wCBLE,2,1
0,0.0,5,A14,split/1,wCBLE,2,1
0,0.0,6,A14,split/1,wCBLE,2,1
0,0.0,7,A14,split/1,wCBLE,2,1
0,0.0,8,A14,split/1,wCBLE,2,1
0,0.0,9,A14,split/1,wCBLE,2,1
0,0.0,10,A14,split/1,wCBLE,2,1
0,0.0,1,A14,split/1,wCBLE,3,1
0,0.0,2,A14,split/1,wCBLE,3,1
0,0.0,3,A14,split/1,wCBLE,3,1
0,0.0,4,A14,split/1,wCBLE,3,1
0,0.0,5,A14,split/1,wCBLE,3,1
0,0.0,6,A14,split/1,wCBLE,3,1
0,0.0,7,A14,split/1,wCBLE,3,1
0,0.0,8,A14,split/1,wCBLE,3,1
0,1.0,9,A14,split/1,wCBLE,3,1
0,1.0,10,A14,split/1,wCBLE,3,1
0,0.0,1,A14,split/1,wCBLE,4,1
0,1.0,2,A14,split/1,wCBLE,4,1
0,1.0,3,A14,split/1,wCBLE,4,1
0,1.0,4,A14,split/1,wCBLE,4,1
0,1.0,5,A14,split/1,wCBLE,4,1
0,1.0,6,A14,split/1,wCBLE,4,1
0,1.0,7,A14,split/1,wCBLE,4,1
0,0.0,8,A14,split/1,wCBLE,4,1
0,0.0,9,A14,split/1,wCBLE,4,1
0,0.0,10,A14,split/1,wCBLE,4,1
0,0.0,1,A14,split/1,wCBLE,5,1
0,1.0,2,A14,split/1,wCBLE,5,1
0,1.0,3,A14,split/1,wCBLE,5,1
0,1.0,4,A14,split/1,wCBLE,5,1
0,1.0,5,A14,split/1,wCBLE,5,1
0,1.0,6,A14,split/1,wCBLE,5,1
0,0.0,7,A14,split/1,wCBLE,5,1
0,0.0,8,A14,split/1,wCBLE,5,1
0,0.0,9,A14,split/1,wCBLE,5,1
0,0.0,10,A14,split/1,wCBLE,5,1
0,0.0,1,A14,split/1,tLDA,0,1
0,0.0,2,A14,split/1,tLDA,0,1
0,0.0,3,A14,split/1,tLDA,0,1
0,0.0,4,A14,split/1,tLDA,0,1
0,0.0,5,A14,split/1,tLDA,0,1
0,1.0,6,A14,split/1,tLDA,0,1
0,1.0,7,A14,split/1,tLDA,0,1
0,1.0,8,A14,split/1,tLDA,0,1
0,1.0,9,A14,split/1,tLDA,0,1
0,1.0,10,A14,split/1,tLDA,0,1
0,0.0,1,A14,split/1,tLDA,1,1
0,1.0,2,A14,split/1,tLDA,1,1
0,1.0,3,A14,split/1,tLDA,1,1
0,1.0,4,A14,split/1,tLDA,1,1
0,1.0,5,A14,split/1,tLDA,1,1
0,1.0,6,A14,split/1,tLDA,1,1
0,1.0,7,A14,split/1,tLDA,1,1
0,1.0,8,A14,split/1,tLDA,1,1
0,1.0,9,A14,split/1,tLDA,1,1
0,1.0,10,A14,split/1,tLDA,1,1
0,1.0,1,A14,split/1,tLDA,2,1
0,0.0,2,A14,split/1,tLDA,2,1
0,0.0,3,A14,split/1,tLDA,2,1
0,1.0,4,A14,split/1,tLDA,2,1
0,1.0,5,A14,split/1,tLDA,2,1
0,1.0,6,A14,split/1,tLDA,2,1
0,1.0,7,A14,split/1,tLDA,2,1
0,1.0,8,A14,split/1,tLDA,2,1
0,1.0,9,A14,split/1,tLDA,2,1
0,1.0,10,A14,split/1,tLDA,2,1
0,0.0,1,A14,split/1,tLDA,3,1
0,0.0,2,A14,split/1,tLDA,3,1
0,0.0,3,A14,split/1,tLDA,3,1
0,0.0,4,A14,split/1,tLDA,3,1
0,0.0,5,A14,split/1,tLDA,3,1
0,0.0,6,A14,split/1,tLDA,3,1
0,0.0,7,A14,split/1,tLDA,3,1
0,0.0,8,A14,split/1,tLDA,3,1
0,0.0,9,A14,split/1,tLDA,3,1
0,0.0,10,A14,split/1,tLDA,3,1
0,0.0,1,A14,split/1,tLDA,4,1
0,1.0,2,A14,split/1,tLDA,4,1
0,1.0,3,A14,split/1,tLDA,4,1
0,1.0,4,A14,split/1,tLDA,4,1
0,1.0,5,A14,split/1,tLDA,4,1
0,1.0,6,A14,split/1,tLDA,4,1
0,1.0,7,A14,split/1,tLDA,4,1
0,1.0,8,A14,split/1,tLDA,4,1
0,1.0,9,A14,split/1,tLDA,4,1
0,1.0,10,A14,split/1,tLDA,4,1
0,0.0,1,A14,split/1,tLDA,5,1
0,1.0,2,A14,split/1,tLDA,5,1
0,0.0,3,A14,split/1,tLDA,5,1
0,1.0,4,A14,split/1,tLDA,5,1
0,1.0,5,A14,split/1,tLDA,5,1
0,1.0,6,A14,split/1,tLDA,5,1
0,1.0,7,A14,split/1,tLDA,5,1
0,1.0,8,A14,split/1,tLDA,5,1
0,0.0,9,A14,split/1,tLDA,5,1
0,1.0,10,A14,split/1,tLDA,5,1
0,0.0,1,A14,split/2,CBLE,0,1
0,1.0,2,A14,split/2,CBLE,0,1
0,1.0,3,A14,split/2,CBLE,0,1
0,1.0,4,A14,split/2,CBLE,0,1
0,1.0,5,A14,split/2,CBLE,0,1
0,0.0,6,A14,split/2,CBLE,0,1
0,1.0,7,A14,split/2,CBLE,0,1
0,1.0,8,A14,split/2,CBLE,0,1
0,1.0,9,A14,split/2,CBLE,0,1
0,1.0,10,A14,split/2,CBLE,0,1
0,0.0,1,A14,split/2,CBLE,1,1
0,0.0,2,A14,split/2,CBLE,1,1
0,0.0,3,A14,split/2,CBLE,1,1
0,0.0,4,A14,split/2,CBLE,1,1
0,0.0,5,A14,split/2,CBLE,1,1
0,0.0,6,A14,split/2,CBLE,1,1
0,1.0,7,A14,split/2,CBLE,1,1
0,1.0,8,A14,split/2,CBLE,1,1
0,1.0,9,A14,split/2,CBLE,1,1
0,1.0,10,A14,split/2,CBLE,1,1
0,0.0,1,A14,split/2,CBLE,2,1
0,0.0,2,A14,split/2,CBLE,2,1
0,0.0,3,A14,split/2,CBLE,2,1
0,0.0,4,A14,split/2,CBLE,2,1
0,0.0,5,A14,split/2,CBLE,2,1
0,0.0,6,A14,split/2,CBLE,2,1
0,0.0,7,A14,split/2,CBLE,2,1
0,0.0,8,A14,split/2,CBLE,2,1
0,0.0,9,A14,split/2,CBLE,2,1
0,0.0,10,A14,split/2,CBLE,2,1
0,0.0,1,A14,split/2,CBLE,3,1
0,0.0,2,A14,split/2,CBLE,3,1
0,1.0,3,A14,split/2,CBLE,3,1
0,0.0,4,A14,split/2,CBLE,3,1
0,0.0,5,A14,split/2,CBLE,3,1
0,0.0,6,A14,split/2,CBLE,3,1
0,0.0,7,A14,split/2,CBLE,3,1
0,0.0,8,A14,split/2,CBLE,3,1
0,0.0,9,A14,split/2,CBLE,3,1
0,1.0,10,A14,split/2,CBLE,3,1
0,0.0,1,A14,split/2,CBLE,4,1
0,0.0,2,A14,split/2,CBLE,4,1
0,0.0,3,A14,split/2,CBLE,4,1
0,0.0,4,A14,split/2,CBLE,4,1
0,1.0,5,A14,split/2,CBLE,4,1
0,1.0,6,A14,split/2,CBLE,4,1
0,1.0,7,A14,split/2,CBLE,4,1
