,accuracy,n_trials,subject,task,model,fold,session
0,0.8,4,A03,S,Riemann,2,2
0,0.6,5,A03,S,Riemann,2,2
0,0.6,6,A03,S,Riemann,2,2
0,0.8,7,A03,S,Riemann,2,2
0,1.0,8,A03,S,Riemann,2,2
0,0.0,1,A03,S,Riemann,3,2
0,0.4,2,A03,S,Riemann,3,2
0,0.6,3,A03,S,Riemann,3,2
0,0.6,4,A03,S,Riemann,3,2
0,0.8,5,A03,S,Riemann,3,2
0,1.0,6,A03,S,Riemann,3,2
0,0.8,7,A03,S,Riemann,3,2
0,1.0,8,A03,S,Riemann,3,2
0,0.2,1,A03,S,Riemann,4,2
0,0.8,2,A03,S,Riemann,4,2
0,0.4,3,A03,S,Riemann,4,2
0,0.6,4,A03,S,Riemann,4,2
0,0.8,5,A03,S,Riemann,4,2
0,0.8,6,A03,S,Riemann,4,2
0,1.0,7,A03,S,Riemann,4,2
0,1.0,8,A03,S,Riemann,4,2
0,0.2,1,A03,S,Riemann,5,2
0,0.4,2,A03,S,Riemann,5,2
0,0.6,3,A03,S,Riemann,5,2
0,0.6,4,A03,S,Riemann,5,2
0,0.6,5,A03,S,Riemann,5,2
0,1.0,6,A03,S,Riemann,5,2
0,0.8,7,A03,S,Riemann,5,2
0,1.0,8,A03,S,Riemann,5,2
0,0.6,1,A03,G,Riemann,0,2
0,0.6,2,A03,G,Riemann,0,2
0,0.6,3,A03,G,Riemann,0,2
0,1.0,4,A03,G,Riemann,0,2
0,0.8,5,A03,G,Riemann,0,2
0,1.0,6,A03,G,Riemann,0,2
0,1.0,7,A03,G,Riemann,0,2
0,1.0,8,A03,G,Riemann,0,2
0,0.2,1,A03,G,Riemann,1,2
0,0.8,2,A03,G,Riemann,1,2
0,0.8,3,A03,G,Riemann,1,2
0,0.8,4,A03,G,Riemann,1,2
0,0.8,5,A03,G,Riemann,1,2
0,0.8,6,A03,G,Riemann,1,2
0,1.0,7,A03,G,Riemann,1,2
0,1.0,8,A03,G,Riemann,1,2
0,0.6,1,A03,G,Riemann,2,2
0,0.2,2,A03,G,Riemann,2,2
0,0.4,3,A03,G,Riemann,2,2
0,0.8,4,A03,G,Riemann,2,2
0,0.6,5,A03,G,Riemann,2,2
0,0.8,6,A03,G,Riemann,2,2
0,0.8,7,A03,G,Riemann,2,2
0,1.0,8,A03,G,Riemann,2,2
0,0.6,1,A03,G,Riemann,3,2
0,0.4,2,A03,G,Riemann,3,2
0,0.8,3,A03,G,Riemann,3,2
0,0.8,4,A03,G,Riemann,3,2
0,0.8,5,A03,G,Riemann,3,2
0,0.8,6,A03,G,Riemann,3,2
0,0.8,7,A03,G,Riemann,3,2
0,1.0,8,A03,G,Riemann,3,2
0,0.4,1,A03,G,Riemann,4,2
0,0.4,2,A03,G,Riemann,4,2
0,0.6,3,A03,G,Riemann,4,2
0,0.8,4,A03,G,Riemann,4,2
