,dataset,condition,label,evoked,subject,evoked_path
24,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=3$)_target.fif
25,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A13,evokeds/CVSA-ERP/A13_split ($d=3$)_distractor.fif
26,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=299), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_overt_non-target.fif
27,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=59), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_overt_target.fif
28,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=296), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_covert_non-target.fif
29,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=60), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_covert_target.fif
30,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=468), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=1$)_non-target.fif
31,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=118), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=1$)_distractor.fif
32,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=116), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=1$)_target.fif
33,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=112), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A18,evokeds/CVSA-ERP/A18_split ($d=2$)_target.fif
