,index,roc_auc,model,fold,subject,session,train_cond,test_cond
0,0,0.917948717948718,CBLE,0,A10,1,G,G
1,0,0.5925925925925927,CBLE,0,A10,1,G,S
2,0,0.8271103896103896,CBLE,0,A10,1,G,mix
3,0,0.864957264957265,CBLE,1,A10,1,G,G
4,0,0.5086538461538462,CBLE,1,A10,1,G,S
5,0,0.7667140825035561,CBLE,1,A10,1,G,mix
6,0,0.9153846153846154,CBLE,2,A10,1,G,G
7,0,0.5837037037037037,CBLE,2,A10,1,G,S
8,0,0.8682692307692308,CBLE,2,A10,1,G,mix
9,0,0.8341880341880342,CBLE,3,A10,1,G,G
10,0,0.6259615384615385,CBLE,3,A10,1,G,S
11,0,0.8481012658227848,CBLE,3,A10,1,G,mix
12,0,0.8993506493506493,CBLE,4,A10,1,G,G
13,0,0.7453560371517028,CBLE,4,A10,1,G,S
14,0,0.7347083926031295,CBLE,4,A10,1,G,mix
15,0,0.900974025974026,CBLE,5,A10,1,G,G
16,0,0.6907775768535263,CBLE,5,A10,1,G,S
17,0,0.8236889692585896,CBLE,5,A10,1,G,mix
18,0,0.811965811965812,wCBLE,0,A10,1,G,G
19,0,0.6222222222222221,wCBLE,0,A10,1,G,S
20,0,0.811529933481153,wCBLE,0,A10,1,G,mix
21,0,0.8794871794871795,wCBLE,1,A10,1,G,G
22,0,0.42901234567901236,wCBLE,1,A10,1,G,S
23,0,0.8363013698630137,wCBLE,1,A10,1,G,mix
24,0,0.964957264957265,wCBLE,2,A10,1,G,G
25,0,0.6424148606811145,wCBLE,2,A10,1,G,S
26,0,0.9538461538461539,wCBLE,2,A10,1,G,mix
27,0,0.9145299145299145,wCBLE,3,A10,1,G,G
28,0,0.6625514403292181,wCBLE,3,A10,1,G,S
29,0,0.7752489331436699,wCBLE,3,A10,1,G,mix
30,0,0.8555194805194805,wCBLE,4,A10,1,G,G
31,0,0.7143835616438357,wCBLE,4,A10,1,G,S
32,0,0.7824675324675325,wCBLE,4,A10,1,G,mix
33,0,0.9180194805194806,wCBLE,5,A10,1,G,G
34,0,0.6555153707052441,wCBLE,5,A10,1,G,S
35,0,0.7711038961038961,wCBLE,5,A10,1,G,mix
36,0,0.9085470085470085,tLDA,0,A10,1,G,G
37,0,0.577037037037037,tLDA,0,A10,1,G,S
38,0,0.8740740740740741,tLDA,0,A10,1,G,mix
39,0,0.8495726495726496,tLDA,1,A10,1,G,G
40,0,0.6607142857142857,tLDA,1,A10,1,G,S
41,0,0.8392592592592593,tLDA,1,A10,1,G,mix
42,0,0.8427350427350427,tLDA,2,A10,1,G,G
43,0,0.6371753246753247,tLDA,2,A10,1,G,S
44,0,0.688470066518847,tLDA,2,A10,1,G,mix
45,0,0.9367521367521368,tLDA,3,A10,1,G,G
46,0,0.6772486772486773,tLDA,3,A10,1,G,S
47,0,0.7548701298701299,tLDA,3,A10,1,G,mix
48,0,0.8847402597402598,tLDA,4,A10,1,G,G
49,0,0.6917808219178082,tLDA,4,A10,1,G,S
