,accuracy,n_trials,subject,condition,model,fold
0,0.16666666666666666,5,A07,G,CBLE,0
0,0.3333333333333333,6,A07,G,CBLE,0
0,0.5833333333333334,7,A07,G,CBLE,0
0,0.5,8,A07,G,CBLE,0
0,0.3333333333333333,1,A07,G,CBLE,1
0,0.25,2,A07,G,CBLE,1
0,0.25,3,A07,G,CBLE,1
0,0.3333333333333333,4,A07,G,CBLE,1
0,0.25,5,A07,G,CBLE,1
0,0.3333333333333333,6,A07,G,CBLE,1
0,0.4166666666666667,7,A07,G,CBLE,1
0,0.5833333333333334,8,A07,G,CBLE,1
0,0.25,1,A07,G,CBLE,2
0,0.3333333333333333,2,A07,G,CBLE,2
0,0.25,3,A07,G,CBLE,2
0,0.25,4,A07,G,CBLE,2
0,0.3333333333333333,5,A07,G,CBLE,2
0,0.4166666666666667,6,A07,G,CBLE,2
0,0.3333333333333333,7,A07,G,CBLE,2
0,0.3333333333333333,8,A07,G,CBLE,2
0,0.08333333333333333,1,A07,G,wCBLE,0
0,0.3333333333333333,2,A07,G,wCBLE,0
0,0.3333333333333333,3,A07,G,wCBLE,0
0,0.3333333333333333,4,A07,G,wCBLE,0
0,0.3333333333333333,5,A07,G,wCBLE,0
0,0.4166666666666667,6,A07,G,wCBLE,0
0,0.5833333333333334,7,A07,G,wCBLE,0
0,0.5833333333333334,8,A07,G,wCBLE,0
0,0.08333333333333333,1,A07,G,wCBLE,1
0,0.25,2,A07,G,wCBLE,1
0,0.4166666666666667,3,A07,G,wCBLE,1
0,0.3333333333333333,4,A07,G,wCBLE,1
0,0.25,5,A07,G,wCBLE,1
0,0.4166666666666667,6,A07,G,wCBLE,1
0,0.5,7,A07,G,wCBLE,1
0,0.5833333333333334,8,A07,G,wCBLE,1
0,0.25,1,A07,G,wCBLE,2
0,0.25,2,A07,G,wCBLE,2
0,0.25,3,A07,G,wCBLE,2
0,0.25,4,A07,G,wCBLE,2
0,0.4166666666666667,5,A07,G,wCBLE,2
0,0.4166666666666667,6,A07,G,wCBLE,2
0,0.5,7,A07,G,wCBLE,2
0,0.5,8,A07,G,wCBLE,2
0,0.0,1,A07,G,tLDA,0
0,0.25,2,A07,G,tLDA,0
0,0.3333333333333333,3,A07,G,tLDA,0
0,0.3333333333333333,4,A07,G,tLDA,0
0,0.3333333333333333,5,A07,G,tLDA,0
0,0.4166666666666667,6,A07,G,tLDA,0
0,0.3333333333333333,7,A07,G,tLDA,0
0,0.3333333333333333,8,A07,G,tLDA,0
0,0.16666666666666666,1,A07,G,tLDA,1
0,0.25,2,A07,G,tLDA,1
0,0.3333333333333333,3,A07,G,tLDA,1
0,0.3333333333333333,4,A07,G,tLDA,1
0,0.3333333333333333,5,A07,G,tLDA,1
0,0.5833333333333334,6,A07,G,tLDA,1
0,0.3333333333333333,7,A07,G,tLDA,1
0,0.4166666666666667,8,A07,G,tLDA,1
0,0.3333333333333333,1,A07,G,tLDA,2
0,0.4166666666666667,2,A07,G,tLDA,2
0,0.25,3,A07,G,tLDA,2
0,0.4166666666666667,4,A07,G,tLDA,2
0,0.4166666666666667,5,A07,G,tLDA,2
0,0.5,6,A07,G,tLDA,2
0,0.5833333333333334,7,A07,G,tLDA,2
0,0.5833333333333334,8,A07,G,tLDA,2
0,0.5,1,A06,S,CBLE,0
0,0.6666666666666666,2,A06,S,CBLE,0
0,0.9166666666666666,3,A06,S,CBLE,0
0,1.0,4,A06,S,CBLE,0
0,0.9166666666666666,5,A06,S,CBLE,0
0,1.0,6,A06,S,CBLE,0
0,1.0,7,A06,S,CBLE,0
0,1.0,8,A06,S,CBLE,0
0,0.5,1,A06,S,CBLE,1
0,0.8333333333333334,2,A06,S,CBLE,1
0,0.9166666666666666,3,A06,S,CBLE,1
0,1.0,4,A06,S,CBLE,1
0,1.0,5,A06,S,CBLE,1
0,1.0,6,A06,S,CBLE,1
0,1.0,7,A06,S,CBLE,1
0,1.0,8,A06,S,CBLE,1
0,0.3333333333333333,1,A06,S,CBLE,2
0,0.75,2,A06,S,CBLE,2
0,0.8333333333333334,3,A06,S,CBLE,2
0,0.8333333333333334,4,A06,S,CBLE,2
