,fit_time,score_time,test_score,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
0,0.3311421871185303,0.008908510208129883,0.7752525252525253,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
1,0.31117844581604004,0.011058807373046875,0.5555555555555556,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
2,0.3925967216491699,0.009785652160644531,0.755050505050505,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
3,0.34911417961120605,0.009877681732177734,0.7449494949494949,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
4,0.34308815002441406,0.008862018585205078,0.5858585858585859,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
5,0.3361082077026367,0.008646726608276367,0.6944444444444444,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
6,0.3476283550262451,0.008764028549194336,0.7,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
7,0.3451204299926758,0.008611679077148438,0.6972222222222222,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
8,0.3458409309387207,0.009026765823364258,0.59375,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
9,0.2436838150024414,0.011279582977294922,0.6875,PA01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
10,0.27636146545410156,0.012026309967041016,0.4671717171717172,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
11,0.40247416496276855,0.011225700378417969,0.5883838383838383,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
12,0.38103747367858887,0.010250329971313477,0.7348484848484849,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
13,0.2455596923828125,0.013068914413452148,0.6843434343434344,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
14,0.37816882133483887,0.011443614959716797,0.5767045454545454,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
15,0.32125091552734375,0.013133525848388672,0.7556818181818181,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
16,0.23301005363464355,0.008368968963623047,0.5482954545454545,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
17,0.32628488540649414,0.008929729461669922,0.5539772727272727,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
18,0.3405437469482422,0.00931549072265625,0.5374677002583979,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
19,0.31647706031799316,0.03326988220214844,0.7906976744186046,PA01,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
20,0.3473834991455078,0.008986473083496094,0.6818181818181818,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
21,0.37985706329345703,0.010890483856201172,0.6717171717171717,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
22,0.3680458068847656,0.01712512969970703,0.6843434343434343,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
23,0.3697066307067871,0.0087432861328125,0.5909090909090909,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
24,0.34091663360595703,0.011711359024047852,0.6420454545454545,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
25,0.35114383697509766,0.008789539337158203,0.7954545454545454,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
26,0.35526442527770996,0.008708477020263672,0.53125,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
27,0.33737611770629883,0.008691549301147461,0.7777777777777778,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
28,0.21929168701171875,0.012585639953613281,0.5762273901808785,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
29,0.35559773445129395,0.008712291717529297,0.689922480620155,PA01,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
30,1.82694673538208,0.02017974853515625,0.8733850129198966,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
31,1.0238769054412842,0.009791851043701172,0.7674418604651162,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
32,1.236088752746582,0.014381170272827148,0.9689922480620154,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
33,0.9014310836791992,0.012264013290405273,0.8863049095607235,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
34,1.2128856182098389,0.05284285545349121,0.937984496124031,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
35,1.4208900928497314,0.01571488380432129,0.9069767441860465,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
36,1.1691205501556396,0.021373987197875977,0.8552971576227391,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
37,1.4685418605804443,0.014705419540405273,0.8294573643410852,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
38,1.7056891918182373,0.00981283187866211,0.962962962962963,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
39,1.224801778793335,0.01683950424194336,0.9682539682539683,PB01,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
