,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
66,0.9479592,0.7660369,140.0,5,1train,3,5,BNCI2014-004,HODA
67,0.9703125,0.570391,160.0,5,2train,3,5,BNCI2014-004,HODA
68,0.9585937,0.74194676,160.0,5,3test,3,5,BNCI2014-004,HODA
69,0.9796875,0.5821581,160.0,5,4test,3,5,BNCI2014-004,HODA
70,0.8666667,0.5757157,120.0,6,0train,3,5,BNCI2014-004,HODA
71,0.8597222,0.6791259,120.0,6,1train,3,5,BNCI2014-004,HODA
72,0.87890625,0.76019657,160.0,6,2train,3,5,BNCI2014-004,HODA
73,0.96953124,0.55371165,160.0,6,3test,3,5,BNCI2014-004,HODA
74,0.9875,0.58409035,160.0,6,4test,3,5,BNCI2014-004,HODA
75,0.625,0.8408306,120.0,7,0train,3,5,BNCI2014-004,HODA
76,0.6013889,0.946248,120.0,7,1train,3,5,BNCI2014-004,HODA
77,0.88671875,0.810758,160.0,7,2train,3,5,BNCI2014-004,HODA
78,0.70625,0.8511244,160.0,7,3test,3,5,BNCI2014-004,HODA
79,0.86875,0.7359766,160.0,7,4test,3,5,BNCI2014-004,HODA
80,0.5914062,0.97882384,160.0,8,0train,3,5,BNCI2014-004,HODA
81,0.6736111,0.7680671,120.0,8,1train,3,5,BNCI2014-004,HODA
82,0.9609375,0.849176,160.0,8,2train,3,5,BNCI2014-004,HODA
83,0.9429687,0.8229102,160.0,8,3test,3,5,BNCI2014-004,HODA
84,0.9984375,0.75803006,160.0,8,4test,3,5,BNCI2014-004,HODA
85,0.7263889,0.68073165,120.0,9,0train,3,5,BNCI2014-004,HODA
86,0.59305555,0.8288146,120.0,9,1train,3,5,BNCI2014-004,HODA
87,0.9507812,0.7845425,160.0,9,2train,3,5,BNCI2014-004,HODA
88,0.9429687,0.8390559,160.0,9,3test,3,5,BNCI2014-004,HODA
89,0.9453125,0.6507785,160.0,9,4test,3,5,BNCI2014-004,HODA
90,0.9236111,4.8194885,120.0,1,0train,3,5,BNCI2014-004,PARAFACDA_10
91,0.73333335,4.0465546,120.0,1,1train,3,5,BNCI2014-004,PARAFACDA_10
92,0.91484374,4.001352,160.0,1,2train,3,5,BNCI2014-004,PARAFACDA_10
93,0.93046874,4.1793613,160.0,1,3test,3,5,BNCI2014-004,PARAFACDA_10
94,0.8828125,4.2429857,160.0,1,4test,3,5,BNCI2014-004,PARAFACDA_10
95,0.6722222,4.067243,120.0,2,0train,3,5,BNCI2014-004,PARAFACDA_10
96,0.49583334,4.141914,120.0,2,1train,3,5,BNCI2014-004,PARAFACDA_10
97,0.68671876,4.208927,160.0,2,2train,3,5,BNCI2014-004,PARAFACDA_10
98,0.4722222,4.373174,120.0,2,3test,3,5,BNCI2014-004,PARAFACDA_10
99,0.5921875,4.5344563,160.0,2,4test,3,5,BNCI2014-004,PARAFACDA_10
100,0.61527777,4.2045608,120.0,3,0train,3,5,BNCI2014-004,PARAFACDA_10
101,0.69305557,4.203023,120.0,3,1train,3,5,BNCI2014-004,PARAFACDA_10
102,0.5828125,4.5787377,160.0,3,2train,3,5,BNCI2014-004,PARAFACDA_10
