,block,rank,val_score,test_score,tLDA_score,dataset,subject,session,n_features
14,15,"(4, 4)",0.9898368298368296,0.9637330754352031,0.9632495164410059,BNCI2014-009,4,1,114
15,16,"(4, 4)",0.99001998001998,0.9651837524177951,0.9632495164410059,BNCI2014-009,4,1,130
0,1,"(2, 2)",0.9355160628844839,0.94375,0.9541666666666666,BNCI2014-009,4,2,4
1,2,"(2, 2)",0.9643724367737526,0.9515625000000001,0.9541666666666666,BNCI2014-009,4,2,8
2,3,"(2, 2)",0.974380980861244,0.96875,0.9541666666666666,BNCI2014-009,4,2,12
3,4,"(2, 2)",0.9823376623376623,0.96875,0.9541666666666666,BNCI2014-009,4,2,16
4,5,"(2, 2)",0.9821731886534518,0.9708333333333332,0.9541666666666666,BNCI2014-009,4,2,20
5,6,"(4, 4)",0.9868398268398269,0.9692708333333333,0.9541666666666666,BNCI2014-009,4,2,36
6,7,"(8, 8)",0.9836019024834813,0.9604166666666667,0.9541666666666666,BNCI2014-009,4,2,100
7,8,"(4, 4)",0.9870564194577354,0.9609375,0.9541666666666666,BNCI2014-009,4,2,116
8,9,"(2, 2)",0.9832121496924128,0.95625,0.9541666666666666,BNCI2014-009,4,2,120
9,10,"(4, 4)",0.9841126965140123,0.9531249999999999,0.9541666666666666,BNCI2014-009,4,2,136
10,11,"(1, 1)",0.9846929824561403,0.9463541666666667,0.9541666666666666,BNCI2014-009,4,2,137
11,12,"(1, 1)",0.9839569093187513,0.94375,0.9541666666666666,BNCI2014-009,4,2,138
12,13,"(4, 4)",0.9834374287992709,0.9369791666666666,0.9541666666666666,BNCI2014-009,4,2,154
13,14,"(1, 1)",0.9817405730234677,0.9395833333333333,0.9541666666666666,BNCI2014-009,4,2,155
14,15,"(4, 4)",0.9822339940760993,0.9328125,0.9541666666666666,BNCI2014-009,4,2,171
15,16,"(2, 2)",0.9791344839371154,0.9380208333333333,0.9541666666666666,BNCI2014-009,4,2,175
0,1,"(1, 1)",0.9775071200729094,0.953125,0.9838541666666667,BNCI2014-009,5,0,1
1,2,"(1, 1)",0.9853856231487811,0.9708333333333332,0.9838541666666667,BNCI2014-009,5,0,2
2,3,"(1, 1)",0.9876367053998634,0.9697916666666667,0.9838541666666667,BNCI2014-009,5,0,3
3,4,"(4, 4)",0.9898877876509455,0.9859374999999999,0.9838541666666667,BNCI2014-009,5,0,19
4,5,"(8, 8)",0.9861130097972204,0.9770833333333333,0.9838541666666667,BNCI2014-009,5,0,83
5,6,"(4, 4)",0.9835242936887674,0.9833333333333334,0.9838541666666667,BNCI2014-009,5,0,99
6,7,"(8, 8)",0.9843900945545683,0.9838541666666667,0.9838541666666667,BNCI2014-009,5,0,163
7,8,"(4, 4)",0.9864680166324904,0.9802083333333333,0.9838541666666667,BNCI2014-009,5,0,179
8,9,"(1, 1)",0.9880003987240829,0.9822916666666666,0.9838541666666667,BNCI2014-009,5,0,180
9,10,"(4, 4)",0.987134597858282,0.9838541666666667,0.9838541666666667,BNCI2014-009,5,0,196
10,11,"(2, 2)",0.9871432843472316,0.9859374999999999,0.9838541666666667,BNCI2014-009,5,0,200
11,12,"(2, 2)",0.9871259113693325,0.984375,0.9838541666666667,BNCI2014-009,5,0,204
12,13,"(4, 4)",0.9872903850535429,0.984375,0.9838541666666667,BNCI2014-009,5,0,220
13,14,"(2, 2)",0.9846929824561403,0.984375,0.9838541666666667,BNCI2014-009,5,0,224
14,15,"(4, 4)",0.9857493164730006,0.9833333333333334,0.9838541666666667,BNCI2014-009,5,0,240
15,16,"(2, 2)",0.9854029961266804,0.9776041666666666,0.9838541666666667,BNCI2014-009,5,0,244
0,1,"(1, 1)",0.9445787545787546,0.9647001934235977,0.9874274661508704,BNCI2014-009,5,1,1
1,2,"(2, 2)",0.9660239760239759,0.9709864603481625,0.9874274661508704,BNCI2014-009,5,1,5
2,3,"(1, 1)",0.9772660672660672,0.9787234042553192,0.9874274661508704,BNCI2014-009,5,1,6
3,4,"(4, 4)",0.9839227439227439,0.9738878143133461,0.9874274661508704,BNCI2014-009,5,1,22
4,5,"(2, 2)",0.9836696636696637,0.9840425531914894,0.9874274661508704,BNCI2014-009,5,1,26
5,6,"(2, 2)",0.9855944055944056,0.9821083172147002,0.9874274661508704,BNCI2014-009,5,1,30
6,7,"(2, 2)",0.9868265068265067,0.9821083172147002,0.9874274661508704,BNCI2014-009,5,1,34
7,8,"(1, 1)",0.986100566100566,0.9801740812379109,0.9874274661508704,BNCI2014-009,5,1,35
8,9,"(1, 1)",0.9871828171828172,0.9748549323017408,0.9874274661508704,BNCI2014-009,5,1,36
9,10,"(4, 4)",0.9884748584748586,0.9806576402321083,0.9874274661508704,BNCI2014-009,5,1,52
10,11,"(4, 4)",0.9853479853479854,0.9729206963249516,0.9874274661508704,BNCI2014-009,5,1,68
11,12,"(4, 4)",0.9835664335664337,0.9705029013539652,0.9874274661508704,BNCI2014-009,5,1,84
12,13,"(4, 4)",0.9837795537795537,0.9724371373307544,0.9874274661508704,BNCI2014-009,5,1,100
13,14,"(2, 2)",0.9818847818847818,0.9680851063829787,0.9874274661508704,BNCI2014-009,5,1,104
14,15,"(2, 2)",0.9817515817515817,0.9724371373307543,0.9874274661508704,BNCI2014-009,5,1,108
15,16,"(2, 2)",0.9813852813852815,0.9705029013539652,0.9874274661508704,BNCI2014-009,5,1,112
0,1,"(1, 1)",0.9503666837548416,0.9385416666666666,0.953125,BNCI2014-009,5,2,1
1,2,"(2, 2)",0.9863556618819777,0.9526041666666667,0.953125,BNCI2014-009,5,2,5
2,3,"(2, 2)",0.9842348769651401,0.95,0.953125,BNCI2014-009,5,2,9
3,4,"(2, 2)",0.9895072909546594,0.9666666666666667,0.953125,BNCI2014-009,5,2,13
4,5,"(2, 2)",0.9889183185235815,0.9666666666666667,0.953125,BNCI2014-009,5,2,17
5,6,"(2, 2)",0.9892993848257007,0.9666666666666667,0.953125,BNCI2014-009,5,2,21
6,7,"(4, 4)",0.9903209728867622,0.9640625,0.953125,BNCI2014-009,5,2,37
7,8,"(1, 1)",0.9894551720209614,0.9567708333333333,0.953125,BNCI2014-009,5,2,38
8,9,"(4, 4)",0.9895935862383232,0.9541666666666667,0.953125,BNCI2014-009,5,2,54
9,10,"(2, 2)",0.9872214627477784,0.9541666666666666,0.953125,BNCI2014-009,5,2,58
10,11,"(8, 8)",0.9865983139667349,0.946875,0.953125,BNCI2014-009,5,2,122
11,12,"(2, 2)",0.9857064536340852,0.9520833333333333,0.953125,BNCI2014-009,5,2,126
12,13,"(2, 2)",0.9858535543403966,0.9526041666666666,0.953125,BNCI2014-009,5,2,130
13,14,"(1, 1)",0.9841480120756436,0.9541666666666666,0.953125,BNCI2014-009,5,2,131
14,15,"(1, 1)",0.9832648382319435,0.9541666666666666,0.953125,BNCI2014-009,5,2,132
15,16,"(2, 2)",0.9829098313966733,0.9541666666666667,0.953125,BNCI2014-009,5,2,136
0,1,"(1, 1)",0.8910677261335156,0.9234374999999999,0.928125,BNCI2014-009,6,0,1
1,2,"(2, 2)",0.9343664559125084,0.9104166666666667,0.928125,BNCI2014-009,6,0,5
2,3,"(8, 8)",0.953127990430622,0.9125000000000001,0.928125,BNCI2014-009,6,0,69
3,4,"(4, 4)",0.9415007689678744,0.9083333333333332,0.928125,BNCI2014-009,6,0,85
4,5,"(4, 4)",0.9432931761221234,0.9109375000000001,0.928125,BNCI2014-009,6,0,101
5,6,"(1, 1)",0.9434663362952838,0.9031250000000001,0.928125,BNCI2014-009,6,0,102
6,7,"(2, 2)",0.9465050410116198,0.921875,0.928125,BNCI2014-009,6,0,106
7,8,"(1, 1)",0.9485395306447938,0.9140625,0.928125,BNCI2014-009,6,0,107
8,9,"(4, 4)",0.9510587548416497,0.9072916666666666,0.928125,BNCI2014-009,6,0,123
9,10,"(4, 4)",0.9606949191159717,0.9005208333333334,0.928125,BNCI2014-009,6,0,139
10,11,"(8, 8)",0.9546771758942812,0.9140625,0.928125,BNCI2014-009,6,0,203
11,12,"(1, 1)",0.9549203975848712,0.9145833333333334,0.928125,BNCI2014-009,6,0,204
12,13,"(2, 2)",0.951171679197995,0.9072916666666667,0.928125,BNCI2014-009,6,0,208
13,14,"(1, 1)",0.9557769423558897,0.915625,0.928125,BNCI2014-009,6,0,209
14,15,"(2, 2)",0.9562703634085213,0.9125000000000001,0.928125,BNCI2014-009,6,0,213
15,16,"(4, 4)",0.9556553315105948,0.9135416666666667,0.928125,BNCI2014-009,6,0,229
0,1,"(1, 1)",0.9051681651681651,0.9811411992263056,0.9859767891682786,BNCI2014-009,6,1,1
1,2,"(8, 8)",0.9425807525807526,0.9753384912959382,0.9859767891682786,BNCI2014-009,6,1,65
2,3,"(1, 1)",0.9400499500499502,0.9729206963249517,0.9859767891682786,BNCI2014-009,6,1,66
3,4,"(1, 1)",0.9452281052281052,0.9637330754352031,0.9859767891682786,BNCI2014-009,6,1,67
4,5,"(4, 4)",0.9497102897102897,0.9617988394584138,0.9859767891682786,BNCI2014-009,6,1,83
5,6,"(2, 2)",0.9487678987678988,0.9743713733075435,0.9859767891682786,BNCI2014-009,6,1,87
6,7,"(2, 2)",0.9473992673992674,0.9763056092843326,0.9859767891682786,BNCI2014-009,6,1,91
7,8,"(1, 1)",0.9462104562104562,0.9796905222437138,0.9859767891682786,BNCI2014-009,6,1,92
