,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
204,4,5,"(3, 4, 18)",0.00014037719265235564,0.11644964067623524,0.009573319648027196,8.589410433687642e-06,8.589410433687642e-06,BNCI2014-004,5,0train
205,5,6,"(3, 4, 18)",0.00014037621502117003,0.1461272729754651,0.0047974000182921936,4.542985541354442e-09,4.542985541354442e-09,BNCI2014-004,5,0train
206,6,7,"(3, 4, 18)",0.0001403762145057923,0.17469591680601698,0.0017229221752292016,9.834052653527222e-13,9.834052653527222e-13,BNCI2014-004,5,0train
207,7,8,"(3, 4, 16)",0.00014037621450571104,0.19952513540851755,0.0010259554697758344,1.561269855003983e-13,1.561269855003983e-13,BNCI2014-004,5,0train
208,8,9,"(2, 2, 2)",0.00014037621450571113,0.2005510830138739,0.0010185807214978086,1.4840229387705037e-13,1.4840229387705037e-13,BNCI2014-004,5,0train
209,9,10,"(3, 4, 16)",0.00014037621450570972,0.22501097384193414,0.0005014191388312661,4.529666537367389e-14,4.529666537367389e-14,BNCI2014-004,5,0train
210,0,1,"(1, 1, 1)",0.01308825163451017,0.02580255322232004,0.2071626778914027,0.9811132987831446,0.9811132987831446,BNCI2014-004,5,1train
211,1,2,"(3, 4, 4)",0.0006536180079252507,0.06251530190311491,0.06629518088549631,0.7694823451112828,0.7694823451112828,BNCI2014-004,5,1train
212,2,3,"(2, 2, 2)",0.0006541797607840336,0.06872269553136945,0.04972439132507433,0.7578993336520405,0.7578993336520405,BNCI2014-004,5,1train
213,3,4,"(3, 4, 18)",0.0001417591007778494,0.092662919251813,0.016331543184973787,0.0007854478639208924,0.0007854478639208924,BNCI2014-004,5,1train
214,4,5,"(3, 4, 16)",0.00014180139209069562,0.13703899179544815,0.008591854380216169,0.0003471847158681523,0.0003471847158681523,BNCI2014-004,5,1train
215,5,6,"(1, 1, 1)",0.0001418014374842053,0.13725036642094032,0.010558637728423482,0.0003442684990135176,0.0003442684990135176,BNCI2014-004,5,1train
216,6,7,"(3, 4, 16)",0.00014179356235862066,0.1756209701003759,0.0032879380906859204,2.036710682019717e-05,2.036710682019717e-05,BNCI2014-004,5,1train
217,7,8,"(2, 2, 2)",0.00014179356682453615,0.17714382114792984,0.0031736709372602893,1.6146301484961203e-05,1.6146301484961203e-05,BNCI2014-004,5,1train
218,8,9,"(3, 4, 18)",0.00014179141325320113,0.21672345173161833,0.0004921789211756939,6.139005303319624e-09,6.139005303319624e-09,BNCI2014-004,5,1train
219,9,10,"(3, 4, 18)",0.00014179141249525068,0.2541800585372976,0.00010610326224595776,1.6153812052624748e-12,1.6153812052624748e-12,BNCI2014-004,5,1train
220,0,1,"(1, 1, 1)",0.013314780883041711,0.026296692244007377,0.13769087454779394,0.9636901758308098,0.9636901758308098,BNCI2014-004,5,2train
221,1,2,"(1, 1, 1)",0.010277344901241468,0.0330620962721106,0.12706882707203165,0.9529817160020179,0.9529817160020179,BNCI2014-004,5,2train
222,2,3,"(3, 4, 4)",0.0006145899284315302,0.054065611883809886,0.06824306088595952,0.7464502133521609,0.7464502133521609,BNCI2014-004,5,2train
223,3,4,"(3, 4, 8)",0.00032845207083086143,0.07498918361970248,0.027723373997902694,0.4782815745471732,0.4782815745471732,BNCI2014-004,5,2train
224,4,5,"(3, 4, 8)",0.0003090382032570689,0.09090546896897153,0.014976458040596528,0.4105674714966078,0.4105674714966078,BNCI2014-004,5,2train
