,stc,snr,jitter,method,rho,fold
86,gaussian,-1,0.2,WCBLE-mode,0.9981991052107207,1
87,gaussian,-1,0.2,WCBLE-mode,0.9978861770104305,2
88,gaussian,-1,0.2,WCBLE-mode,0.9971101010715088,3
89,gaussian,-1,0.2,WCBLE-mode,0.9988787988999525,4
90,gaussian,-1,0.2,CBLE-median,0.986731251684976,0
91,gaussian,-1,0.2,CBLE-median,0.9746305051564262,1
92,gaussian,-1,0.2,CBLE-median,0.9708173250287288,2
93,gaussian,-1,0.2,CBLE-median,0.9764906069715593,3
94,gaussian,-1,0.2,CBLE-median,0.9769689054729304,4
95,gaussian,-1,0.2,WCBLE-median,0.9985159249608915,0
96,gaussian,-1,0.2,WCBLE-median,0.9970952426106874,1
97,gaussian,-1,0.2,WCBLE-median,0.9982178333954714,2
98,gaussian,-1,0.2,WCBLE-median,0.996935413184842,3
99,gaussian,-1,0.2,WCBLE-median,0.9990821132374754,4
100,gaussian,-1,0.3,CBLE-mode,0.9350870552948898,0
101,gaussian,-1,0.3,CBLE-mode,0.9610284022602852,1
102,gaussian,-1,0.3,CBLE-mode,0.9586622107834065,2
103,gaussian,-1,0.3,CBLE-mode,0.9370306413868527,3
104,gaussian,-1,0.3,CBLE-mode,0.9630650489386305,4
105,gaussian,-1,0.3,WCBLE-mode,0.9987136533004147,0
106,gaussian,-1,0.3,WCBLE-mode,0.9987094280872688,1
107,gaussian,-1,0.3,WCBLE-mode,0.9982824972771706,2
108,gaussian,-1,0.3,WCBLE-mode,0.9983899060996173,3
109,gaussian,-1,0.3,WCBLE-mode,0.9993488936379242,4
110,gaussian,-1,0.3,CBLE-median,0.9956300411973512,0
111,gaussian,-1,0.3,CBLE-median,0.9887894620222313,1
112,gaussian,-1,0.3,CBLE-median,0.9864807056215736,2
113,gaussian,-1,0.3,CBLE-median,0.9828885421025723,3
114,gaussian,-1,0.3,CBLE-median,0.9933824487357628,4
115,gaussian,-1,0.3,WCBLE-median,0.999182430018792,0
116,gaussian,-1,0.3,WCBLE-median,0.9992109104314811,1
117,gaussian,-1,0.3,WCBLE-median,0.9990532866677294,2
118,gaussian,-1,0.3,WCBLE-median,0.9992195066890507,3
119,gaussian,-1,0.3,WCBLE-median,0.9992625040302063,4
120,gaussian,-2,0.1,CBLE-mode,0.9628812733578833,0
121,gaussian,-2,0.1,CBLE-mode,0.9504203406454982,1
122,gaussian,-2,0.1,CBLE-mode,0.9470105943232249,2
123,gaussian,-2,0.1,CBLE-mode,0.9400968554371144,3
124,gaussian,-2,0.1,CBLE-mode,0.961594579346452,4
125,gaussian,-2,0.1,WCBLE-mode,0.9926800010900783,0
126,gaussian,-2,0.1,WCBLE-mode,0.9906393921495906,1
127,gaussian,-2,0.1,WCBLE-mode,0.9906844952214628,2
128,gaussian,-2,0.1,WCBLE-mode,0.9888155407253733,3
129,gaussian,-2,0.1,WCBLE-mode,0.9932755766594775,4
130,gaussian,-2,0.1,CBLE-median,0.989967839775318,0
131,gaussian,-2,0.1,CBLE-median,0.9748400168297028,1
132,gaussian,-2,0.1,CBLE-median,0.977518838983212,2
133,gaussian,-2,0.1,CBLE-median,0.9546625939085754,3
134,gaussian,-2,0.1,CBLE-median,0.9775724659409667,4
135,gaussian,-2,0.1,WCBLE-median,0.9955273718344092,0
136,gaussian,-2,0.1,WCBLE-median,0.9885194619139126,1
137,gaussian,-2,0.1,WCBLE-median,0.9941857266961148,2
138,gaussian,-2,0.1,WCBLE-median,0.9932082402220251,3
139,gaussian,-2,0.1,WCBLE-median,0.9957292535412358,4
140,gaussian,-2,0.2,CBLE-mode,0.9550663820535414,0
141,gaussian,-2,0.2,CBLE-mode,0.9590803604223224,1
142,gaussian,-2,0.2,CBLE-mode,0.9829145190519523,2
143,gaussian,-2,0.2,CBLE-mode,0.9448019711055813,3
144,gaussian,-2,0.2,CBLE-mode,0.9770754258926463,4
145,gaussian,-2,0.2,WCBLE-mode,0.9988175499255901,0
146,gaussian,-2,0.2,WCBLE-mode,0.9978871698673896,1
147,gaussian,-2,0.2,WCBLE-mode,0.9979026792427711,2
148,gaussian,-2,0.2,WCBLE-mode,0.9975919481333736,3
149,gaussian,-2,0.2,WCBLE-mode,0.9981967557899393,4
150,gaussian,-2,0.2,CBLE-median,0.986731251684976,0
151,gaussian,-2,0.2,CBLE-median,0.9746305051564262,1
152,gaussian,-2,0.2,CBLE-median,0.9670007320656117,2
153,gaussian,-2,0.2,CBLE-median,0.9743182113841345,3
154,gaussian,-2,0.2,CBLE-median,0.9782489674866853,4
155,gaussian,-2,0.2,WCBLE-median,0.998640287552872,0
156,gaussian,-2,0.2,WCBLE-median,0.9981287886165474,1
157,gaussian,-2,0.2,WCBLE-median,0.9984055274070526,2
158,gaussian,-2,0.2,WCBLE-median,0.9979516242884272,3
159,gaussian,-2,0.2,WCBLE-median,0.9990807104340091,4
160,gaussian,-2,0.3,CBLE-mode,0.9333536641165211,0
161,gaussian,-2,0.3,CBLE-mode,0.9610284022602852,1
162,gaussian,-2,0.3,CBLE-mode,0.9521948361970235,2
163,gaussian,-2,0.3,CBLE-mode,0.9398266277991827,3
164,gaussian,-2,0.3,CBLE-mode,0.9630650489386305,4
165,gaussian,-2,0.3,WCBLE-mode,0.9987136533004147,0
166,gaussian,-2,0.3,WCBLE-mode,0.9990601124077355,1
167,gaussian,-2,0.3,WCBLE-mode,0.9993107597630378,2
168,gaussian,-2,0.3,WCBLE-mode,0.9993676577217895,3
169,gaussian,-2,0.3,WCBLE-mode,0.9997849645484489,4
170,gaussian,-2,0.3,CBLE-median,0.994961109417746,0
171,gaussian,-2,0.3,CBLE-median,0.9876987630314862,1
172,gaussian,-2,0.3,CBLE-median,0.9850538738589695,2
173,gaussian,-2,0.3,CBLE-median,0.9828885421025723,3
174,gaussian,-2,0.3,CBLE-median,0.9933824487357628,4
175,gaussian,-2,0.3,WCBLE-median,0.9992244445644505,0
176,gaussian,-2,0.3,WCBLE-median,0.9990885186222522,1
177,gaussian,-2,0.3,WCBLE-median,0.999147603464996,2
178,gaussian,-2,0.3,WCBLE-median,0.9993676577217894,3
179,gaussian,-2,0.3,WCBLE-median,0.999608184406142,4
180,gaussian,-3,0.1,CBLE-mode,0.9628812733578833,0
181,gaussian,-3,0.1,CBLE-mode,0.9504203406454982,1
182,gaussian,-3,0.1,CBLE-mode,0.9451561571582238,2
183,gaussian,-3,0.1,CBLE-mode,0.936932942975428,3
184,gaussian,-3,0.1,CBLE-mode,0.9551979644835581,4
185,gaussian,-3,0.1,WCBLE-mode,0.9936296838003303,0
186,gaussian,-3,0.1,WCBLE-mode,0.9906393921495906,1
187,gaussian,-3,0.1,WCBLE-mode,0.9910350069041364,2
188,gaussian,-3,0.1,WCBLE-mode,0.9908053143463825,3
189,gaussian,-3,0.1,WCBLE-mode,0.9932755766594775,4
190,gaussian,-3,0.1,CBLE-median,0.9870980643261565,0
191,gaussian,-3,0.1,CBLE-median,0.971500356898386,1
192,gaussian,-3,0.1,CBLE-median,0.9651180234403121,2
193,gaussian,-3,0.1,CBLE-median,0.9539589362043133,3
194,gaussian,-3,0.1,CBLE-median,0.9775724659409667,4
195,gaussian,-3,0.1,WCBLE-median,0.9949988768218069,0
196,gaussian,-3,0.1,WCBLE-median,0.993689207093703,1
197,gaussian,-3,0.1,WCBLE-median,0.9924222323507731,2
198,gaussian,-3,0.1,WCBLE-median,0.991441136163296,3
199,gaussian,-3,0.1,WCBLE-median,0.9938585812353341,4
200,gaussian,-3,0.2,CBLE-mode,0.9550663820535414,0
201,gaussian,-3,0.2,CBLE-mode,0.9590803604223224,1
202,gaussian,-3,0.2,CBLE-mode,0.9685673131402014,2
203,gaussian,-3,0.2,CBLE-mode,0.9448019711055813,3
204,gaussian,-3,0.2,CBLE-mode,0.9776652915781505,4
205,gaussian,-3,0.2,WCBLE-mode,0.9981760574152696,0
206,gaussian,-3,0.2,WCBLE-mode,0.9982960660450548,1
207,gaussian,-3,0.2,WCBLE-mode,0.9982047882471832,2
208,gaussian,-3,0.2,WCBLE-mode,0.9969080408998233,3
209,gaussian,-3,0.2,WCBLE-mode,0.9980908591564476,4
210,gaussian,-3,0.2,CBLE-median,0.9828225799262166,0
211,gaussian,-3,0.2,CBLE-median,0.9746305051564262,1
212,gaussian,-3,0.2,CBLE-median,0.9686508511890971,2
213,gaussian,-3,0.2,CBLE-median,0.971901953805991,3
214,gaussian,-3,0.2,CBLE-median,0.9760874565728833,4
215,gaussian,-3,0.2,WCBLE-median,0.9981607945397755,0
216,gaussian,-3,0.2,WCBLE-median,0.9983469900316673,1
217,gaussian,-3,0.2,WCBLE-median,0.9979406280928157,2
218,gaussian,-3,0.2,WCBLE-median,0.9982186774118408,3
219,gaussian,-3,0.2,WCBLE-median,0.9982350910194998,4
220,gaussian,-3,0.3,CBLE-mode,0.9333536641165211,0
221,gaussian,-3,0.3,CBLE-mode,0.9626103443017525,1
222,gaussian,-3,0.3,CBLE-mode,0.9521948361970235,2
223,gaussian,-3,0.3,CBLE-mode,0.9385516911293948,3
224,gaussian,-3,0.3,CBLE-mode,0.9625682117607409,4
225,gaussian,-3,0.3,WCBLE-mode,0.9998164040772777,0
226,gaussian,-3,0.3,WCBLE-mode,0.9991542489895386,1
227,gaussian,-3,0.3,WCBLE-mode,0.9992285349631196,2
228,gaussian,-3,0.3,WCBLE-mode,0.9987688925532513,3
229,gaussian,-3,0.3,WCBLE-mode,0.999608184406142,4
230,gaussian,-3,0.3,CBLE-median,0.9936889095096011,0
231,gaussian,-3,0.3,CBLE-median,0.9836594934486401,1
232,gaussian,-3,0.3,CBLE-median,0.9826363943452969,2
233,gaussian,-3,0.3,CBLE-median,0.9821739977185513,3
234,gaussian,-3,0.3,CBLE-median,0.9933681009913807,4
235,gaussian,-3,0.3,WCBLE-median,0.9995794791315465,0
236,gaussian,-3,0.3,WCBLE-median,0.9988108678691131,1
237,gaussian,-3,0.3,WCBLE-median,0.9990551266137675,2
238,gaussian,-3,0.3,WCBLE-median,0.9985818577525234,3
239,gaussian,-3,0.3,WCBLE-median,0.9997849645484489,4
240,gaussian,-4,0.1,CBLE-mode,0.9671042254137553,0
241,gaussian,-4,0.1,CBLE-mode,0.9504203406454982,1
242,gaussian,-4,0.1,CBLE-mode,0.9451561571582238,2
243,gaussian,-4,0.1,CBLE-mode,0.9420904816040859,3
244,gaussian,-4,0.1,CBLE-mode,0.9551979644835581,4
245,gaussian,-4,0.1,WCBLE-mode,0.9939806067487628,0
246,gaussian,-4,0.1,WCBLE-mode,0.9898991649684646,1
247,gaussian,-4,0.1,WCBLE-mode,0.9910350069041364,2
248,gaussian,-4,0.1,WCBLE-mode,0.9900631945063243,3
249,gaussian,-4,0.1,WCBLE-mode,0.9920966425269742,4
250,gaussian,-4,0.1,CBLE-median,0.9839076714049623,0
251,gaussian,-4,0.1,CBLE-median,0.9705871452970246,1
252,gaussian,-4,0.1,CBLE-median,0.9657351673908958,2
253,gaussian,-4,0.1,CBLE-median,0.9462981848136113,3
254,gaussian,-4,0.1,CBLE-median,0.971953282082398,4
255,gaussian,-4,0.1,WCBLE-median,0.9948301441230323,0
256,gaussian,-4,0.1,WCBLE-median,0.9906755179253037,1
257,gaussian,-4,0.1,WCBLE-median,0.9951251888564098,2
258,gaussian,-4,0.1,WCBLE-median,0.9908016110606055,3
259,gaussian,-4,0.1,WCBLE-median,0.9924204277287076,4
260,gaussian,-4,0.2,CBLE-mode,0.9547636080585206,0
261,gaussian,-4,0.2,CBLE-mode,0.9590803604223224,1
262,gaussian,-4,0.2,CBLE-mode,0.9674921110707297,2
263,gaussian,-4,0.2,CBLE-mode,0.9388298854621727,3
264,gaussian,-4,0.2,CBLE-mode,0.9681786667226953,4
