,stc,snr,jitter,method,accuracy,fold
47,sine,-1,0.2,tlda,0.6,7
48,sine,-1,0.2,tlda,0.4,8
49,sine,-1,0.2,tlda,0.45,9
50,sine,-1,0.3,tlda,0.2,0
51,sine,-1,0.3,tlda,0.35,1
52,sine,-1,0.3,tlda,0.1,2
53,sine,-1,0.3,tlda,0.2,3
54,sine,-1,0.3,tlda,0.35,4
55,sine,-1,0.3,tlda,0.3,5
56,sine,-1,0.3,tlda,0.2,6
57,sine,-1,0.3,tlda,0.3,7
58,sine,-1,0.3,tlda,0.15,8
59,sine,-1,0.3,tlda,0.25,9
60,sine,-2,0.1,tlda,0.9,0
61,sine,-2,0.1,tlda,0.85,1
62,sine,-2,0.1,tlda,0.85,2
63,sine,-2,0.1,tlda,0.9,3
64,sine,-2,0.1,tlda,0.95,4
65,sine,-2,0.1,tlda,0.85,5
66,sine,-2,0.1,tlda,0.8,6
67,sine,-2,0.1,tlda,0.95,7
68,sine,-2,0.1,tlda,0.8,8
69,sine,-2,0.1,tlda,0.75,9
70,sine,-2,0.2,tlda,0.45,0
71,sine,-2,0.2,tlda,0.5,1
72,sine,-2,0.2,tlda,0.45,2
73,sine,-2,0.2,tlda,0.35,3
74,sine,-2,0.2,tlda,0.4,4
75,sine,-2,0.2,tlda,0.7,5
76,sine,-2,0.2,tlda,0.45,6
77,sine,-2,0.2,tlda,0.55,7
78,sine,-2,0.2,tlda,0.4,8
79,sine,-2,0.2,tlda,0.4,9
80,sine,-2,0.3,tlda,0.2,0
81,sine,-2,0.3,tlda,0.2,1
82,sine,-2,0.3,tlda,0.1,2
83,sine,-2,0.3,tlda,0.2,3
84,sine,-2,0.3,tlda,0.35,4
85,sine,-2,0.3,tlda,0.25,5
86,sine,-2,0.3,tlda,0.1,6
87,sine,-2,0.3,tlda,0.25,7
88,sine,-2,0.3,tlda,0.15,8
89,sine,-2,0.3,tlda,0.25,9
90,sine,-3,0.1,tlda,0.9,0
91,sine,-3,0.1,tlda,0.85,1
92,sine,-3,0.1,tlda,0.85,2
93,sine,-3,0.1,tlda,0.9,3
94,sine,-3,0.1,tlda,0.9,4
95,sine,-3,0.1,tlda,0.8,5
96,sine,-3,0.1,tlda,0.8,6
97,sine,-3,0.1,tlda,0.95,7
98,sine,-3,0.1,tlda,0.8,8
99,sine,-3,0.1,tlda,0.7,9
100,sine,-3,0.2,tlda,0.35,0
101,sine,-3,0.2,tlda,0.45,1
102,sine,-3,0.2,tlda,0.4,2
103,sine,-3,0.2,tlda,0.35,3
104,sine,-3,0.2,tlda,0.4,4
105,sine,-3,0.2,tlda,0.55,5
106,sine,-3,0.2,tlda,0.45,6
107,sine,-3,0.2,tlda,0.55,7
108,sine,-3,0.2,tlda,0.4,8
109,sine,-3,0.2,tlda,0.35,9
110,sine,-3,0.3,tlda,0.15,0
111,sine,-3,0.3,tlda,0.2,1
112,sine,-3,0.3,tlda,0.1,2
113,sine,-3,0.3,tlda,0.2,3
114,sine,-3,0.3,tlda,0.3,4
115,sine,-3,0.3,tlda,0.1,5
116,sine,-3,0.3,tlda,0.1,6
117,sine,-3,0.3,tlda,0.2,7
118,sine,-3,0.3,tlda,0.15,8
119,sine,-3,0.3,tlda,0.25,9
120,sine,-4,0.1,tlda,0.9,0
121,sine,-4,0.1,tlda,0.85,1
122,sine,-4,0.1,tlda,0.8,2
123,sine,-4,0.1,tlda,0.9,3
124,sine,-4,0.1,tlda,0.85,4
125,sine,-4,0.1,tlda,0.8,5
126,sine,-4,0.1,tlda,0.8,6
127,sine,-4,0.1,tlda,0.95,7
128,sine,-4,0.1,tlda,0.8,8
129,sine,-4,0.1,tlda,0.65,9
130,sine,-4,0.2,tlda,0.35,0
131,sine,-4,0.2,tlda,0.45,1
132,sine,-4,0.2,tlda,0.35,2
133,sine,-4,0.2,tlda,0.3,3
134,sine,-4,0.2,tlda,0.4,4
135,sine,-4,0.2,tlda,0.45,5
136,sine,-4,0.2,tlda,0.3,6
137,sine,-4,0.2,tlda,0.5,7
138,sine,-4,0.2,tlda,0.35,8
139,sine,-4,0.2,tlda,0.35,9
140,sine,-4,0.3,tlda,0.1,0
141,sine,-4,0.3,tlda,0.2,1
142,sine,-4,0.3,tlda,0.05,2
143,sine,-4,0.3,tlda,0.15,3
144,sine,-4,0.3,tlda,0.3,4
145,sine,-4,0.3,tlda,0.05,5
146,sine,-4,0.3,tlda,0.1,6
147,sine,-4,0.3,tlda,0.2,7
148,sine,-4,0.3,tlda,0.15,8
149,sine,-4,0.3,tlda,0.2,9
150,sine,-5,0.1,tlda,0.9,0
151,sine,-5,0.1,tlda,0.8,1
152,sine,-5,0.1,tlda,0.8,2
153,sine,-5,0.1,tlda,0.9,3
154,sine,-5,0.1,tlda,0.8,4
155,sine,-5,0.1,tlda,0.8,5
156,sine,-5,0.1,tlda,0.8,6
157,sine,-5,0.1,tlda,0.9,7
158,sine,-5,0.1,tlda,0.8,8
159,sine,-5,0.1,tlda,0.65,9
160,sine,-5,0.2,tlda,0.2,0
161,sine,-5,0.2,tlda,0.4,1
162,sine,-5,0.2,tlda,0.35,2
163,sine,-5,0.2,tlda,0.25,3
164,sine,-5,0.2,tlda,0.3,4
165,sine,-5,0.2,tlda,0.4,5
166,sine,-5,0.2,tlda,0.25,6
167,sine,-5,0.2,tlda,0.45,7
168,sine,-5,0.2,tlda,0.35,8
169,sine,-5,0.2,tlda,0.3,9
170,sine,-5,0.3,tlda,0.1,0
171,sine,-5,0.3,tlda,0.2,1
172,sine,-5,0.3,tlda,0.05,2
173,sine,-5,0.3,tlda,0.15,3
174,sine,-5,0.3,tlda,0.3,4
175,sine,-5,0.3,tlda,0.05,5
176,sine,-5,0.3,tlda,0.1,6
177,sine,-5,0.3,tlda,0.2,7
178,sine,-5,0.3,tlda,0.15,8
179,sine,-5,0.3,tlda,0.2,9
180,sine,-6,0.1,tlda,0.85,0
181,sine,-6,0.1,tlda,0.75,1
182,sine,-6,0.1,tlda,0.8,2
183,sine,-6,0.1,tlda,0.75,3
184,sine,-6,0.1,tlda,0.75,4
185,sine,-6,0.1,tlda,0.8,5
186,sine,-6,0.1,tlda,0.8,6
187,sine,-6,0.1,tlda,0.9,7
188,sine,-6,0.1,tlda,0.8,8
189,sine,-6,0.1,tlda,0.65,9
190,sine,-6,0.2,tlda,0.2,0
191,sine,-6,0.2,tlda,0.4,1
192,sine,-6,0.2,tlda,0.3,2
193,sine,-6,0.2,tlda,0.25,3
194,sine,-6,0.2,tlda,0.25,4
195,sine,-6,0.2,tlda,0.35,5
196,sine,-6,0.2,tlda,0.2,6
197,sine,-6,0.2,tlda,0.4,7
198,sine,-6,0.2,tlda,0.3,8
199,sine,-6,0.2,tlda,0.3,9
200,sine,-6,0.3,tlda,0.1,0
201,sine,-6,0.3,tlda,0.2,1
202,sine,-6,0.3,tlda,0.05,2
203,sine,-6,0.3,tlda,0.15,3
204,sine,-6,0.3,tlda,0.25,4
205,sine,-6,0.3,tlda,0.05,5
206,sine,-6,0.3,tlda,0.1,6
207,sine,-6,0.3,tlda,0.2,7
208,sine,-6,0.3,tlda,0.15,8
209,sine,-6,0.3,tlda,0.2,9
210,sine,-7,0.1,tlda,0.85,0
211,sine,-7,0.1,tlda,0.7,1
212,sine,-7,0.1,tlda,0.75,2
213,sine,-7,0.1,tlda,0.75,3
214,sine,-7,0.1,tlda,0.75,4
215,sine,-7,0.1,tlda,0.8,5
216,sine,-7,0.1,tlda,0.8,6
217,sine,-7,0.1,tlda,0.9,7
218,sine,-7,0.1,tlda,0.75,8
219,sine,-7,0.1,tlda,0.65,9
220,sine,-7,0.2,tlda,0.2,0
221,sine,-7,0.2,tlda,0.35,1
222,sine,-7,0.2,tlda,0.3,2
223,sine,-7,0.2,tlda,0.2,3
224,sine,-7,0.2,tlda,0.25,4
